ingredient,vegetarian,vegan,dairy_free,gluten_free
salt,yes,yes,yes,yes
olive oil,yes,yes,yes,yes
onions,yes,yes,yes,yes
water,yes,yes,yes,yes
garlic,yes,yes,yes,yes
sugar,yes,yes,yes,yes
garlic cloves,yes,yes,yes,yes
butter,yes,no,no,yes
ground black pepper,yes,yes,yes,yes
all-purpose flour,yes,yes,yes,no
pepper,yes,yes,yes,yes
vegetable oil,yes,yes,yes,yes
eggs,yes,no,yes,yes
soy sauce,yes,yes,yes,no
kosher salt,yes,yes,yes,yes
green onions,yes,yes,yes,yes
tomatoes,yes,yes,yes,yes
large eggs,yes,no,yes,yes
carrots,yes,yes,yes,yes
unsalted butter,yes,no,no,yes
extra-virgin olive oil,yes,yes,yes,yes
ground cumin,yes,yes,yes,yes
black pepper,yes,yes,yes,yes
milk,yes,no,no,yes
chili powder,yes,yes,yes,yes
oil,yes,yes,yes,yes
red bell pepper,yes,yes,yes,yes
purple onion,yes,yes,yes,yes
scallions,yes,yes,yes,yes
grated parmesan cheese,yes,no,no,yes
sesame oil,yes,yes,yes,yes
corn starch,yes,yes,yes,yes
ginger,yes,yes,yes,yes
baking powder,yes,yes,yes,yes
jalapeno chilies,yes,yes,yes,yes
dried oregano,yes,yes,yes,yes
chopped cilantro fresh,yes,yes,yes,yes
fresh lemon juice,yes,yes,yes,yes
diced tomatoes,yes,yes,yes,yes
fresh parsley,yes,yes,yes,yes
minced garlic,yes,yes,yes,yes
chicken broth,no,no,yes,yes
sour cream,yes,no,no,yes
cayenne pepper,yes,yes,yes,yes
brown sugar,yes,yes,yes,yes
fresh ginger,yes,yes,yes,yes
cooking spray,yes,yes,yes,yes
shallots,yes,yes,yes,yes
garlic powder,yes,yes,yes,yes
lime,yes,yes,yes,yes
lemon juice,yes,yes,yes,yes
fresh lime juice,yes,yes,yes,yes
flour,yes,yes,yes,no
honey,yes,no,yes,yes
vanilla extract,yes,yes,yes,yes
paprika,yes,yes,yes,yes
chopped onion,yes,yes,yes,yes
fish sauce,no,no,yes,no
ground cinnamon,yes,yes,yes,yes
avocado,yes,yes,yes,yes
canola oil,yes,yes,yes,yes
dry white wine,yes,no,yes,yes
lemon,yes,yes,yes,yes
rice vinegar,yes,yes,yes,yes
yellow onion,yes,yes,yes,yes
green bell pepper,yes,yes,yes,yes
cilantro leaves,yes,yes,yes,yes
tomato paste,yes,yes,yes,yes
heavy cream,yes,no,no,yes
cilantro,yes,yes,yes,yes
fresh basil,yes,yes,yes,yes
boneless skinless chicken breasts,no,no,yes,yes
flat leaf parsley,yes,yes,yes,yes
white sugar,yes,yes,yes,yes
lime juice,yes,yes,yes,yes
chicken stock,no,no,yes,yes
bay leaves,yes,yes,yes,yes
potatoes,yes,yes,yes,yes
chicken,no,no,yes,yes
corn tortillas,yes,yes,yes,yes
salsa,yes,yes,yes,yes
cumin,yes,yes,yes,yes
freshly ground pepper,yes,yes,yes,yes
ground turmeric,yes,yes,yes,yes
baking soda,yes,yes,yes,yes
sea salt,yes,yes,yes,yes
cumin seed,yes,yes,yes,yes
garam masala,yes,yes,yes,yes
shrimp,no,no,yes,yes
black beans,yes,yes,yes,yes
zucchini,yes,yes,yes,yes
ground beef,no,no,yes,yes
dried thyme,yes,yes,yes,yes
large garlic cloves,yes,yes,yes,yes
flour tortillas,yes,yes,yes,no
tomato sauce,yes,yes,yes,yes
buttermilk,yes,no,no,yes
plum tomatoes,yes,yes,yes,yes
coconut milk,yes,yes,yes,yes
granulated sugar,yes,yes,yes,yes
fresh cilantro,yes,yes,yes,yes
bay leaf,yes,yes,yes,yes
celery,yes,yes,yes,yes
crushed red pepper,yes,yes,yes,yes
chopped cilantro,yes,yes,yes,yes
chicken breasts,no,no,yes,yes
mayonaise,yes,no,yes,yes
shredded cheddar cheese,yes,no,no,yes
green chilies,yes,yes,yes,yes
ground coriander,yes,yes,yes,yes
cucumber,yes,yes,yes,yes
whole milk,yes,no,no,yes
red wine vinegar,yes,no,yes,yes
tumeric,yes,yes,yes,yes
cinnamon,yes,yes,yes,yes
curry powder,yes,yes,yes,yes
worcestershire sauce,no,no,no,no
white onion,yes,yes,yes,yes
ground ginger,yes,yes,yes,yes
sesame seeds,yes,yes,yes,yes
